53,0
Brauerei,1
Valentin Herman,2
Fanfor-Verlag,3
0,4
1996,5
3,6
6,7
14,8
43,9
5.89,10
5.51,11
22084,12
12,13
2,14
2.50,15
1.27,16
115,17
11,18
13,19
C:\Users\thoma\Downloads\bgg1toolu\img\000053.jpg,20
Economic,21
N,22
P,23
"Brauerei, a game about the German beer market, has players attempting to bring their beer brands to the national markets.  First though they have to master the local and regional markets, making sure everyone is supplied with beer and attempting to anticipate and evolve the public&apos;s taste in beer.&lt;br/&gt;&lt;br/&gt;",24
25,25
Food & Drink: Beer,26
Brewery,27
