69,0
Bollox,1
Rob Nelson (II),2
Cadaco,3
0,4
1999,5
2,6
20,7
10,8
50,9
6.75,10
5.52,11
17048,12
30,13
5,14
2.40,15
1.27,16
119,17
4,18
45,19
C:\Users\thoma\Downloads\bgg1toolu\img\000069.jpg,20
Abstract Strategy,21
"Hexagon Grid, Pattern Building",22
N,23
B,24
"Bollox is easy to learn as there are only two rules. Playing the game of Bollox, well, is a bit trickier.&lt;br/&gt;&lt;br/&gt;Your objective? Get five pieces in a row. Sounds easy, right?&lt;br/&gt;&lt;br/&gt;Rule One: Black plays first. Still sounds easy? Not so fast!&lt;br/&gt;&lt;br/&gt;Rule Two: The seemingly sudden &apos;Sandwich Move&apos;. Just like it sounds, when you entrap two of your opponent&apos;s pieces between two of your own, you get to &quot;evict&quot; one of your opponent&apos;s pieces. ...",25
Abstract Games,26
"Category: Combinatorial, Category: n in a row, Components: Marbles, Misc: Mensa Select, Players: Two-Player Only Games",27
8,28
"Bōku, Bolix",29
