0,Die Macher
1,Dragonmaster
2,Samurai
3,Tal der Könige
4,Acquire
5,Mare Mediterraneum
6,Cathedral
7,Lords of Creation
8,El Caballero
9,Elfenland
10,Bohnanza
11,Ra
12,CATAN
13,Basari
14,Cosmic Encounter
15,MarraCash
16,Button Men
17,RoboRally
18,Wacky Wacky West
19,Full Metal Planète
20,Gateway to the Stars
21,Magic Realm
22,Divine Right
23,Twilight Imperium
7,Battlemist
24,Age of Renaissance
25,Supremacy: The Game of the Superpowers
26,Illuminati
5,Terrain Vague
27,Dark Tower
28,Dark World
29,Buffalo Chess
30,Arkham Horror
31,Federation & Empire
32,Dragon Masters
33,Runes
34,Darkover
35,Borderlands
36,Can't Stop
37,Tigris & Euphrates
38,Airlines
27,David & Goliath
39,Perudo
40,Medici
41,Chinatown
3,Krieg und Frieden
42,Mamma Mia!
43,Lost Cities
44,Ricochet Robots
45,Mighty Empires
32,Brauerei
46,Tikal
47,Sophie's World
48,Schoko & Co.
49,Kings & Things
50,Giganten
51,Vinci
52,Fossil
47,Curse of the Mummy's Tomb
53,Samurai: Game of Politics and Warfare in Feudal Japan
35,Joan of Arc
54,The Garden Game
55,Löwenherz
31,Conquest
56,Successors: The Battles for Alexander's Empire (First/Second Edition)
25,Bollox
42,Big City
57,Civilization
58,Verräter
59,Show Manager
31,Apples to Apples
34,Falling
30,Air Baron
60,"EastFront: The War in Russia, 1941-45"
61,"WestFront: The War in Europe, 1943-45"
5,MedFront: War in North Africa 1940-43
62,VolgaFront: East of EastFront 1942-43
62,"EuroFront: War in Europe, 1939-45"
63,Bobby Lee: The Civil War in Virginia 1861-1865
7,Sam Grant: The Civil War in the West 1862-1864
64,Rommel in the Desert
65,Quebec 1759
53,Victory: World War II
66,Torres
30,Blue vs. Gray
3,Star Wars: Episode 1 - Clash of the Lightsabers
67,Paths of Glory
68,El Grande
69,Union Pacific
70,Igel Ärgern
31,Broadsides & Boarding Parties
16,Conquest of the Empire
71,Axis & Allies
26,Fortress America
27,Detroit-Cleveland Grand Prix
30,Klunker
14,Titan
38,Extrablatt
72,Colossal Arena
14,Mystery Rummy: Jack the Ripper
54,Peaceful Resistance
50,TAMSK
73,Wettstreit der Baumeister
74,Auf Achse
60,Rheinländer
69,Condottiere
63,"Plotters, Inc."
33,Ransom
75,I'm the Boss!
76,Guillotine
77,Ta Yü
78,Modern Art
21,Cosmolancer
79,Hoity Toity
80,Dune
60,Quo Vadis?
54,Green Thumb Cards
81,Primordial Soup
77,Money!
48,The Really Nasty Horse Racing Game
34,Princess Ryan's Star Marines
82,Take it Easy!
