80,0
VolgaFront: East of EastFront 1942-43,1
Tim Taylor,2
Columbia Games,3
Eric Hotz,4
1994,5
2,6
240,7
12,8
70,9
7.60,10
5.56,11
0,12
14,13
3,14
1.24,15
340,16
18,17
26,18
C:\Users\thoma\Downloads\bgg1toolu\img\000080.jpg,19
"Expansion for Base-game, Wargame, World War II",20
"Dice Rolling, Grid Movement, Hexagon Grid, Secret Unit Deployment",21
N,22
B,23
"Volgafront is a folio add-on to Columbia Games EastFront: The War in Russia, 1941-45.  It provides an eastern map extension of Russia so that a complete picture of the strategic possibilities during WWII in Germany&apos;s fight with the Soviet Union.  It also comes with an additional EastFront rulebook and a set of new scenarios that utilize the map extension directly.  EastFront: The War in Russia, 1941-45 is required to play with the VolgaFront map.  VolgaFront is also part of the EuroFront series.&lt;br/...",24
Y,25
77,26
"EastFront: The War in Russia,  1941-45",27
18.82,28
81,29
Wargames,30
"Components: Block Wargames, Country: Russia, History: World War II (Eastern Front), Players: Two-Player Only Games, Players: Wargames with Rules Supporting Only Two Players, Rivers: Volga, Series: Front Series (Columbia)",31
16,32
