66,0
Löwenherz,1
Klaus Teuber,2
Goldsieber Spiele,3
Andreas Steiner,4
1997,5
2,6
4,7
90,8
12,9
2699,10
7.05,11
6.34,12
1648,13
0,14
866,15
306,16
2.78,17
1.37,18
4007,19
199,20
121,21
399,22
C:\Users\thoma\Downloads\bgg1toolu\img\000066.jpg,23
"Medieval, Political",24
"Area Majority / Influence, Auction / Bidding, Enclosure, Modular Board, Negotiation, Square Grid",25
N,26
P,27
R,28
B,29
"The king lies near death, so the princes compete to dominate the kingdom and secure the throne by grabbing as much land as possible.&lt;br/&gt;&lt;br/&gt;This is, in the ideal, a 4 player game. Each turn a card is revealed that displays 3 actions that players can choose from. Each player in turn choose an action by playing a 1, 2 or 3 card identifying the first, second or third action on the revealed card. The beauty of this mechanism lies in the distribution of 3 actions among 4 players. Someone always mis...",30
5737,31
Domaine,32
26.97,33
Strategy Games,34
"Admin: Better Description Needed!, Components: 10 x 15 Grids",35
12.36,36
