11,0
Bohnanza,1
Uwe Rosenberg,2
AMIGO,3
Björn Pertoft,4
1997,5
2,6
7,7
45,8
12,9
48898,10
7.07,11
6.95,12
531,13
0,14
10065,15
3050,16
1.67,17
1.30,18
77601,19
1082,20
413,21
3755,22
C:\Users\thoma\Downloads\bgg1toolu\img\000011.jpg,23
"Card Game, Farming, Negotiation",24
"Hand Management, Multi-Use Cards, Negotiation, Set Collection, Trading",25
N,26
P,27
R,28
B,29
"Bohnanza is the first in the Bohnanza family of games and has been published in several different editions, including a 2023 version with flowers.&lt;br/&gt;&lt;br/&gt;This entry lists a few different major card sets for Bohnanza: the base game for 3-5 players, the expanded game with the same name for 2-7 players (that is, first expansion included), and Bohnanza Pocket.&lt;br/&gt;&lt;br/&gt;In the game, you plant, then harvest bean cards in order to earn coins. Each player starts with a hand of random bean ...",30
"128412, 261341, 81100, 168452, 217261, 386906, 205867, 439088, 313649, 26946, 256503, 171419, 20136, 148000, 138703",31
"Bohn to Be Wild!, Bohnanza, Bohnanza Fun & Easy, Bohnanza Schnupperspiel, Bohnanza: 20 Jahre, Bohnanza: Dahlias, Bohnanza: The Duel, Bohniläum, Excalibohn, Ladybohn: Manche mögen's heiss!, Landleven spel, My First Bohnanza, Rabohnzel, Sissi!: Die Bohnenkaiserin, Wendy Pferdebasar",32
"351605, 439086",33
"Bohnanza: 25th Anniversary Edition, Bohnanza+",34
"392091, 437884, 8175, 393295, 142931, 138949",35
"Bohnanza: Bierdeckel, Bohnanza: Braille Accessibility Kit, Bohnanza: Counters, Bohnanza: Playmat, Bohnanza: Round Indicator, Bohnanza: Sammelbox",36
10.40,37
"35589, 103186, 285164, 467, 1494, 14118, 189272, 174239, 43237, 216664, 453, 168425, 35428, 6264, 378111, 59416, 205687, 31419, 178656, 8174, 111734, 913, 12677, 18793, 4377, 243505, 2571, 13474",38
Family Games,39
"Components: Multi-Use Cards, Digital Implementations: BrettspielWelt, Game: Bohnanza, Misc: Dice Tower Hall of Fame, Series: Bean Games (Lookout)",40
8.30,41
"Babszüret, Bohnanza: Fan Edition, Bohnanza: Ich glaub' es hackt!, Bohnanza: Jubiläumsedition, Bohnanza: Le Business des Haricots, Bohnanza: Por um Punhado de Feijões!, Bohnanza: Por un Puñado de Judías, Bohnanza: Φασούλι το Φασούλι, Bonanza, Boonanza, Fasolki, Fazole, Semenza, Бонанза, ボーナンザ, ボーナンザ, 眾豆得金, 種豆, 보난자",42
