"Alliances, Area Majority / Influence, Auction / Bidding, Dice Rolling, Hand Management, Simultaneous Action Selection",0
Trick-taking,1
"Area Majority / Influence, Hand Management, Hexagon Grid, Once-Per-Game Abilities, Set Collection, Tile Placement",2
"Action Points, Area Majority / Influence, Auction / Bidding, Set Collection",3
"Hand Management, Investment, Market, Square Grid, Stock Holding, Tile Placement, Victory Points as a Resource",4
Dice Rolling,5
"Enclosure, Pattern Building, Square Grid, Tile Placement",6
Modular Board,7
"Area Majority / Influence, Tile Placement",8
"Hand Management, Network and Route Building, Open Drafting, Point to Point Movement, Programmed Movement, Turn Order: Progressive",9
"Hand Management, Multi-Use Cards, Negotiation, Set Collection, Trading",10
"Auction / Bidding, Auction: Once Around, Closed Economy Auction, Constrained Bidding, Hidden Victory Points, Push Your Luck, Set Collection",11
"Chaining, Dice Rolling, Hexagon Grid, Income, Modular Board, Negotiation, Network and Route Building, Race, Random Production, Take That, Trading, Variable Set-up",12
"Roll / Spin and Move, Set Collection, Simultaneous Action Selection",13
"Alliances, Hand Management, Negotiation, Variable Player Powers",14
Auction / Bidding,15
"Dice Rolling, Push Your Luck",16
"Action Queue, Bias, Grid Movement, Lose a Turn, Modular Board, Programmed Movement, Race, Scenario / Mission / Campaign Game, Simultaneous Action Selection",17
"Tile Placement, Voting",18
"Action Points, Real-Time",19
0,20
"Action Queue, Dice Rolling, Events, Modular Board, Paper-and-Pencil, Player Elimination, Point to Point Movement, Role Playing, Simultaneous Action Selection, Variable Player Powers, Variable Set-up",21
"Dice Rolling, Events, Grid Movement, Hexagon Grid, Movement Points, Open Drafting, Player Elimination, Simulation, Variable Phase Order, Variable Player Powers, Variable Set-up, Zone of Control",22
"Dice Rolling, Hexagon Grid, Modular Board, Tile Placement, Variable Player Powers, Voting",23
"Dice Rolling, Hexagon Grid",24
"Area Movement, Auction / Bidding, Simulation",25
"Commodity Speculation, Dice Rolling",26
"Dice Rolling, Network and Route Building, Open Drafting, Tile Placement, Variable Player Powers",27
"Action Points, Modular Board",28
"Area Movement, Push Your Luck",29
"Dice Rolling, Grid Movement",30
Grid Movement,31
"Cooperative Game, Role Playing, Variable Player Powers",32
"Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Simulation",33
Deduction,34
"Area Majority / Influence, Area Movement, Events, Open Drafting, Paper-and-Pencil, Rock-Paper-Scissors, Sudden Death Ending, Variable Player Powers, Variable Set-up",35
"Area Movement, Random Production, Simulation, Trading",36
"Dice Rolling, Push Your Luck, Race",37
"Area Majority / Influence, Chaining, Connections, Force Commitment, Hand Management, Hidden Victory Points, Highest-Lowest Scoring, Income, Set Collection, Square Grid, Take That, Tile Placement",38
"Investment, Network and Route Building, Stock Holding",39
"Betting and Bluffing, Dice Rolling, Player Elimination",40
"Auction / Bidding, Auction: Once Around, Income, Push Your Luck, Set Collection, Victory Points as a Resource",41
"Enclosure, Income, Investment, Negotiation, Set Collection, Tile Placement, Trading, Victory Points as a Resource",42
"Hand Management, Memory",43
"Hand Management, Melding and Splaying, Ordering, Push Your Luck, Score-and-Reset Game, Set Collection",44
"Grid Movement, Modular Board, Real-Time, Square Grid, Turn Order: Stat-Based, Variable Set-up",45
Hexagon Grid,46
"Action Points, Area Majority / Influence, Auction / Bidding, Events, Grid Movement, Hexagon Grid, Kill Steal, Layering, Map Addition, Modular Board, Set Collection, Tile Placement, Victory Points as a Resource",47
"Auction / Bidding, Commodity Speculation",48
"Area Majority / Influence, Area Movement, Dice Rolling, Events, Hexagon Grid, Modular Board, Secret Unit Deployment",49
"Auction / Bidding, Commodity Speculation, Multi-Use Cards",50
"Area Majority / Influence, Area Movement, Increase Value of Unchosen Resources, Network and Route Building, Race, Static Capture, Take That, Variable Player Powers, Variable Set-up, Victory Points as a Resource",51
Set Collection,52
Action Queue,53
"Area Movement, Dice Rolling, Movement Points, Ratio / Combat Results Table, Simulation, Turn Order: Progressive",54
"Area Majority / Influence, Area Movement, Dice Rolling, Hand Management, Take That, Team-Based Game",55
"Roll / Spin and Move, Set Collection",56
"Area Majority / Influence, Auction / Bidding, Enclosure, Modular Board, Negotiation, Square Grid",57
"Action Points, Point to Point Movement",58
"Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement",59
"Hexagon Grid, Pattern Building",60
"Hand Management, Modular Board, Tile Placement",61
"Area Majority / Influence, Area Movement, Hand Management, Set Collection, Simulation, Tech Trees / Tech Tracks, Trading, Turn Order: Stat-Based",62
"Hand Management, Modular Board, Open Drafting, Team-Based Game, Variable Player Powers",63
"Auction: Dutch, Open Drafting, Set Collection",64
"Hand Management, Player Judge, Simultaneous Action Selection",65
Hand Management,66
"Area Majority / Influence, Chit-Pull System, Dice Rolling",67
"Dice Rolling, Hexagon Grid, Secret Unit Deployment, Simulation",68
"Dice Rolling, Hexagon Grid, Secret Unit Deployment",69
