71,0
Civilization,1
Francis Tresham,2
Hartland Trefoil Ltd.,3
Ed Dovey,4
1980,5
2,6
7,7
360,8
12,9
7612,10
7.49,11
7.00,12
478,13
0,14
2408,15
763,16
3.64,17
1.60,18
11328,19
465,20
226,21
1032,22
C:\Users\thoma\Downloads\bgg1toolu\img\000071.jpg,23
"Ancient, Civilization, Economic, Negotiation",24
"Area Majority / Influence, Area Movement, Hand Management, Set Collection, Simulation, Tech Trees / Tech Tracks, Trading, Turn Order: Stat-Based",25
N,26
P,27
R,28
B,29
"Civilization is a game of skill for 2 to 7 players. It covers the development of ancient civilizations from the invention of agriculture c. 8000 B.C. to the emergence of Rome around the middle of the third century B.C. Each player leads a nation of peoples over a map board of the Eastern Mediterranean and Near East as they attempt to carve a niche for themselves and their culture.&lt;br/&gt;&lt;br/&gt;Although battles and territorial strategy are important, this is not a war game because it is not won by ba...",30
184424,31
Mega Civilization,32
"143347, 131240, 143347, 131240",33
"Civilization Central America, Civilization: The New World, Civilization Central America, Civilization: The New World",34
60.68,35
"177, 16109, 11568, 79843, 2058",36
Strategy Games,37
"Ancient: Babylon, Ancient: Egypt, Ancient: Greece, Ancient: Rome, Components: Map (Continental / National scale), Game: Civilization, Islands: Crete (Greece), Misc: BGG Hall of Fame, Misc: Dice Tower Hall of Fame, Region: Aegean Sea, Region: Mediterranean Sea, War Level of Command: Grand Strategy",38
12.33,39
"Civilisation, Civilizacion, Civilización: El Juego De Las Culturas Mediterráneas, Sivilisaatio",40
