19,0
Wacky Wacky West,1
Klaus Teuber,2
Hans im Glück,3
Chris McGloughlin,4
1991,5
2,6
4,7
45,8
30,9
9,10
1984,11
6.28,12
5.86,13
4019,14
0,15
685,16
167,17
1.82,18
1.24,19
3802,20
219,21
55,22
171,23
C:\Users\thoma\Downloads\bgg1toolu\img\000019.jpg,24
"American West, Bluffing, City Building",25
"Tile Placement, Voting",26
N,27
P,28
R,29
B,30
"A long time ago, in a village far, far away, some disturbed townsfolk decided to destroy their entire town in order to rid themselves of an evil menace (it&apos;s technically a dog-mouse, but I think it&apos;s an idiomatic thing).  Anyway, so the villagers rebuilt all the buildings in the town (including their precious outhouses), but forgot to include city walls, a river, or roads.  To rectify this, players lay tiles with one of these three things onto the board, and any building caught underneath them is ...",31
12.73,32
Family Games,33
8.20,34
"Drunter & Drüber, Sans dessus dessous",35
