9,0
El Caballero,1
Wolfgang Kramer,2
999 Games,3
Doris Matthäus,4
1998,5
2,6
4,7
90,8
13,9
1476,10
6.47,11
5.87,12
3913,13
0,14
652,15
206,16
2.95,17
1.45,18
2809,19
174,20
314,21
C:\Users\thoma\Downloads\bgg1toolu\img\000009.jpg,22
Exploration,23
"Area Majority / Influence, Tile Placement",24
N,25
R,26
B,27
"Although referred to as a sequel to El Grande, El Caballero shares few aspects with its namesake, being a fun but intense brain-burner in which players explore and attempt to control the lands and waterways of the New World.&lt;br/&gt;&lt;br/&gt;The players are following Columbus by exploring the islands he discovered. Players slowly explore the islands &ndash; by picking and placing land tiles that are most favorable to them &ndash; and discover wealth in the form of gold and fish. As they learn about the ...",28
24.67,29
Strategy Games,30
Game: El Grande,31
11.80,32
Conquistador,33
