72,0
Verräter,1
Marcel-André Casasola Merkle,2
Adlung-Spiele,3
1998,4
3,5
4,6
60,7
12,8
2022,9
6.68,10
6.06,11
2730,12
0,13
644,14
187,15
2.57,16
1.23,17
4430,18
205,19
53,20
239,21
C:\Users\thoma\Downloads\bgg1toolu\img\000072.jpg,22
"Card Game, Political",23
"Hand Management, Modular Board, Open Drafting, Team-Based Game, Variable Player Powers",24
N,25
P,26
B,27
"This board game masquerading as a card game is about a conflict between two factions, the Rose and the Eagle. In each turn, players attempt to change the allegiance of one land district, contributing power cards to swing the conflict in their favor. Players also choose roles such as Diplomat, Traitor, and Builder that give them special abilities for that turn. The most potentially devastating role is that of the Verr&auml;ter, or Traitor, which allows the player to change allegiances just as the conflict be...",28
902,29
Meuterer,30
9.23,31
129217,32
Strategy Games,33
Digital Implementations: BrettspielWelt,34
10,35
フェレータ,36
