16,0
MarraCash,1
Stefan Dorra,2
KOSMOS,3
Marion Pott,4
1996,5
3,6
4,7
60,8
12,9
1195,10
6.97,11
6.02,12
2932,13
0,14
442,15
97,16
2.16,17
1.25,18
1439,19
43,20
174,21
354,22
C:\Users\thoma\Downloads\bgg1toolu\img\000016.jpg,23
Economic,24
Auction / Bidding,25
N,26
R,27
B,28
"Taking on the roles of shop owners in the Moroccan marketplace, players buy various shops, as color-coded tourists in the form of neat little wooden people in hats start showing up at the entry gate. Players can then move them into their own like-colored shops to earn money or move them into opponents&apos; shops for a share of the profits. After all the tourists have been placed onto the board, the player with the biggest bankroll takes the victory. This game combines some great auction elements with spati...",29
11335,30
Bazar der edlen Steine,31
40.85,32
Strategy Games,33
"Admin: Better Description Needed!, Category: Combinatorial, Cities: Marrakech (Morocco), Country: Morocco, Occupation: Merchant",34
