60,0
Vinci,1
Philippe Keyaerts,2
Descartes Editeur,3
Cyril Saint Blancat,4
1999,5
3,6
6,7
120,8
14,9
4081,10
7.06,11
6.49,12
1274,13
0,14
1393,15
444,16
2.78,17
1.35,18
3898,19
214,20
143,21
546,22
C:\Users\thoma\Downloads\bgg1toolu\img\000060.jpg,23
"Ancient, Civilization, Territory Building",24
"Area Majority / Influence, Area Movement, Increase Value of Unchosen Resources, Network and Route Building, Race, Static Capture, Take That, Variable Player Powers, Variable Set-up, Victory Points as a Resource",25
N,26
R,27
B,28
P,29
"Along the lines of History of the World by The Avalon Hill Game Co, players cycle through a series of European civilizations as they attempt to score the most points using the civilization&apos;s special powers.  The game is set in Europe. Each player is provided with a pool of wooden tokens to represent their civilizations.  Each player selects a combination of civilization tiles, which give his civilization special abilities or characteristics.  Players enlarge their empires through territorial expansion,...",30
40692,31
Small World,32
32.26,33
Strategy Games,34
Digital Implementations: Yucata,35
11.50,36
