24,0
Twilight Imperium,1
Christian T. Petersen,2
Fantasy Flight Games,3
Bill Heagy,4
1997,5
2,6
6,7
240,8
12,9
719,10
6.59,11
5.73,12
5455,13
0,14
313,15
56,16
3.46,17
1.74,18
909,19
47,20
30,21
140,22
C:\Users\thoma\Downloads\bgg1toolu\img\000024.jpg,23
"Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame",24
"Dice Rolling, Hexagon Grid, Modular Board, Tile Placement, Variable Player Powers, Voting",25
N,26
P,27
R,28
B,29
Sprawling game of space faring races out to dominate known space.&lt;br/&gt;&lt;br/&gt;This game combines a number of elements from other game systems into a unique package. Hex tiles create the game board and each player begins with a race with unique powers. The game focuses heavily on a political voting phase and a web of trade agreements between players.&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;Part of the Twilight Imperium Series / Family.&lt;br/&gt;&lt;br/&gt;Expanded with:&lt;br/&gt;&lt;br/&gt;    Twilight Im...,30
26055,31
Twilight Imperium: Second Edition,32
"402119, 6189",33
"Twilight Imperium: Speaker Pin Badge, Twilight Imperium: Twilight Armada",34
34.30,35
"6190, 6181, 6188",36
Thematic Games,37
"Components: Hexagonal Tiles, Game: Twilight Imperium, Mechanism: 4X",38
14,39
