74,0
Apples to Apples,1
Matthew Kirby,2
64 Ounce Games,3
John Kovalic,4
1999,5
4,6
10,7
30,8
20,9
12,10
19573,11
5.75,12
5.63,13
7628,14
0,15
5484,16
1526,17
1.15,18
1.70,19
30546,20
997,21
61,22
575,23
C:\Users\thoma\Downloads\bgg1toolu\img\000074.jpg,24
"Card Game, Humor, Party Game, Word Game",25
"Hand Management, Player Judge, Simultaneous Action Selection",26
N,27
R,28
B,29
"The party game Apples to Apples consists of two decks of cards: Things and Descriptions. Each round, the active player draws a Description card (which features an adjective like &quot;Hairy&quot; or &quot;Smarmy&quot;) from the deck, then the other players each secretly choose the Thing card in hand that best matches that description and plays it face-down on the table. The active player then reveals these cards and chooses the Thing card that, in his opinion, best matches the Description card, which he awa...",30
"407232, 10681, 4991, 78436",31
"Apples to Apples Express, Apples to Apples Junior, Apples to Apples Kids, Apples to Apples Mod",32
"193350, 150541, 150540, 253792, 152421, 193350, 150541, 150540, 253792, 152421",33
"1980s Apples To Apples Snack Pack, Adventurous Apples To Apples Snack Pack, Big Picture Apples To Apples Snack Pack Game, The Flower Essence Game, Trendy Apples to Apples Snack Pack, 1980s Apples To Apples Snack Pack, Adventurous Apples To Apples Snack Pack, Big Picture Apples To Apples Snack Pack Game, The Flower Essence Game, Trendy Apples to Apples Snack Pack",34
21.05,35
"5808, 5865, 5801, 5802, 27645, 24303, 180189",36
Party Games,37
"Digital Implementations: VASSAL, Game: Apples to Apples, Mechanism: Judging Games, Misc: Dice Tower Hall of Fame, Misc: Mensa Select",38
9.40,39
"Äpfel zu Äpfeln, Apfelkompott, Appels en Peren, Apples and Oranges, Apples to Apples, Concordances, Kjaftaskja, Kuin kaksi marjaa, Lika som bär, Manzanas con Manzanas, アップルトウアップル",40
